"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\Mentora\mentora\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"d:\Mentora\mentora\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"d:\Mentora\mentora\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Mentora\mentora\package-lock.json", "JSON", 3632, 0, 0, 0, 0, 0, 0, 0, 1, 3633
"d:\Mentora\mentora\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\Mentora\mentora\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Mentora\mentora\public\logo.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Mentora\mentora\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Mentora\mentora\src\App.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"d:\Mentora\mentora\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 184, 0, 0, 0, 0, 0, 6, 190
"d:\Mentora\mentora\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 259, 0, 0, 0, 0, 5, 14, 278
"d:\Mentora\mentora\src\components\courses\CourseDetails.jsx", "JavaScript JSX", 0, 0, 266, 0, 0, 0, 0, 6, 18, 290
"d:\Mentora\mentora\src\components\home\FAQ.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 0, 7, 92
"d:\Mentora\mentora\src\components\home\Feature.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 1, 8, 120
"d:\Mentora\mentora\src\components\home\HeroSection.jsx", "JavaScript JSX", 0, 0, 98, 0, 0, 0, 0, 2, 3, 103
"d:\Mentora\mentora\src\components\home\PopularCourses.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 0, 0, 5, 135
"d:\Mentora\mentora\src\components\home\TestimonialsSection.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 7, 76
"d:\Mentora\mentora\src\components\home\Trusted.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 0, 1, 14, 97
"d:\Mentora\mentora\src\components\home\UpComingLives.jsx", "JavaScript JSX", 0, 0, 119, 0, 0, 0, 0, 0, 8, 127
"d:\Mentora\mentora\src\components\live\LiveDetails.jsx", "JavaScript JSX", 0, 0, 182, 0, 0, 0, 0, 3, 15, 200
"d:\Mentora\mentora\src\index.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Mentora\mentora\src\layouts\WebsiteLayout.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\Mentora\mentora\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\Mentora\mentora\src\pages\Courses.jsx", "JavaScript JSX", 0, 0, 495, 0, 0, 0, 0, 13, 25, 533
"d:\Mentora\mentora\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"d:\Mentora\mentora\src\pages\Live.jsx", "JavaScript JSX", 0, 0, 299, 0, 0, 0, 0, 10, 19, 328
"d:\Mentora\mentora\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 207, 0, 0, 0, 0, 6, 20, 233
"d:\Mentora\mentora\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\Mentora\mentora\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, 273, 0, 0, 0, 0, 4, 13, 290
"d:\Mentora\mentora\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 256, 0, 0, 0, 0, 8, 20, 284
"d:\Mentora\mentora\src\pages\mentor\Dashboard.jsx", "JavaScript JSX", 0, 0, 294, 0, 0, 0, 0, 7, 15, 316
"d:\Mentora\mentora\src\pages\res\About.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 2, 9, 75
"d:\Mentora\mentora\src\pages\res\Careers.jsx", "JavaScript JSX", 0, 0, 116, 0, 0, 0, 0, 2, 7, 125
"d:\Mentora\mentora\src\pages\res\Contact.jsx", "JavaScript JSX", 0, 0, 172, 0, 0, 0, 0, 4, 13, 189
"d:\Mentora\mentora\src\pages\res\FAQ.jsx", "JavaScript JSX", 0, 0, 101, 0, 0, 0, 0, 2, 8, 111
"d:\Mentora\mentora\src\pages\res\Privacy.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 0, 0, 2, 9, 166
"d:\Mentora\mentora\src\pages\res\TermsPage.jsx", "JavaScript JSX", 0, 0, 141, 0, 0, 0, 0, 2, 10, 153
"d:\Mentora\mentora\src\pages\student\Dashboard.jsx", "JavaScript JSX", 0, 0, 475, 0, 0, 0, 0, 19, 30, 524
"d:\Mentora\mentora\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"Total", "-", 3666, 38, 4736, 7, 1, 10, 13, 100, 343, 8914
