"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\Mentora\mentora\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 6, 15
"d:\Mentora\mentora\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"d:\Mentora\mentora\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Mentora\mentora\package-lock.json", "JSON", 3632, 0, 0, 0, 0, 0, 0, 0, 1, 3633
"d:\Mentora\mentora\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\Mentora\mentora\public\favicon.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Mentora\mentora\public\logo.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Mentora\mentora\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Mentora\mentora\src\App.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 2, 19, 113
"d:\Mentora\mentora\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 184, 0, 0, 0, 0, 6, 190
"d:\Mentora\mentora\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 433, 0, 0, 0, 3, 17, 453
"d:\Mentora\mentora\src\components\courses\CourseDetails.jsx", "JavaScript JSX", 0, 0, 0, 268, 0, 0, 0, 1, 22, 291
"d:\Mentora\mentora\src\components\home\FAQ.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 7, 92
"d:\Mentora\mentora\src\components\home\Feature.jsx", "JavaScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 8, 119
"d:\Mentora\mentora\src\components\home\HeroSection.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 3, 101
"d:\Mentora\mentora\src\components\home\PopularCourses.jsx", "JavaScript JSX", 0, 0, 0, 130, 0, 0, 0, 1, 5, 136
"d:\Mentora\mentora\src\components\home\TestimonialsSection.jsx", "JavaScript JSX", 0, 0, 0, 69, 0, 0, 0, 1, 7, 77
"d:\Mentora\mentora\src\components\home\Trusted.jsx", "JavaScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 16, 95
"d:\Mentora\mentora\src\components\home\UpComingLives.jsx", "JavaScript JSX", 0, 0, 0, 119, 0, 0, 0, 1, 8, 128
"d:\Mentora\mentora\src\components\live\LiveDetails.jsx", "JavaScript JSX", 0, 0, 0, 179, 0, 0, 0, 3, 16, 198
"d:\Mentora\mentora\src\index.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\Mentora\mentora\src\layouts\WebsiteLayout.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\Mentora\mentora\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Mentora\mentora\src\pages\Courses.jsx", "JavaScript JSX", 0, 0, 0, 495, 0, 0, 0, 9, 24, 528
"d:\Mentora\mentora\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"d:\Mentora\mentora\src\pages\Live.jsx", "JavaScript JSX", 0, 0, 0, 301, 0, 0, 0, 7, 17, 325
"d:\Mentora\mentora\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 207, 0, 0, 0, 6, 20, 233
"d:\Mentora\mentora\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
